ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
P2X7 receptor signalling complex	O43707;O95425;P05107;P08238;P0DMV8;P11142;P23467;P42356;P60709;Q13368;Q16787;Q99572	81;6840;3689;3326;3303;3312;5787;5297;60;4356;3909;5027	ion transport;ion channel activity;cell surface receptor signaling pathway;cytoskeleton organization;plasma membrane	ion transport;ion channels;transmembrane signal transduction;cytoskeleton/structural proteins;eukaryotic plasma membrane / membrane attached	ACTN4;SVIL;ITGB2;HSP90AB1;HSPA1A;HSPA8;PTPRB;PI4KA;ACTB;MPP3;LAMA3;P2RX7	"Since the authors did not specify HSP70, we used isoform HSPA1A."	None	None
DDB2 complex	P61201;P62877;Q13098;Q13619;Q16531;Q7L5N1;Q92466;Q92905;Q99627;Q9BT78;Q9UBW8;Q9UNS2	9318;9978;2873;8451;1642;10980;1643;10987;10920;51138;50813;8533	DNA repair;protein ubiquitination;DNA binding;cellular response to DNA damage stimulus;nucleus;ubiquitin-dependent protein catabolic process	"DNA repair;modification by ubiquitination, deubiquitination;DNA binding;DNA damage response;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)"	COPS2;RBX1;GPS1;CUL4A;DDB1;COPS6;DDB2;COPS5;COPS8;COPS4;COPS7A;COPS3	"Since the authors did not specify COPS7, we used isoform COPS7A."	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Results suggest that the distinct UV response of the DDB2 and CSA complexes is involved in diverse mechanisms of nucleotide excision repair (NER). The DDB2 complex binds to DNA after UV irradiation.	None
CSA complex	P61201;P62877;Q13098;Q13216;Q13619;Q16531;Q7L5N1;Q92905;Q99627;Q9BT78;Q9UBW8;Q9UNS2	9318;9978;2873;1161;8451;1642;10980;10987;10920;51138;50813;8533	DNA repair;protein ubiquitination;protein binding;cellular response to DNA damage stimulus;nucleus;ubiquitin-dependent protein catabolic process	"DNA repair;modification by ubiquitination, deubiquitination;protein binding;DNA damage response;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)"	COPS2;RBX1;GPS1;ERCC8;CUL4A;DDB1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3	"Since the authors did not specify COPS7, we used isoform COPS7A."	"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Results suggest that the distinct UV response of the DDB2 and CSA complexes is involved in diverse mechanisms of nucleotide excision repair (NER). The CSA complex does not bind to DNA, regardless of UV damage."	None
CSA-POLIIa complex	P24928;P61201;P62877;Q13098;Q13216;Q13619;Q16531;Q7L5N1;Q92905;Q99627;Q9BT78;Q9UBW8;Q9UNS2	5430;9318;9978;2873;1161;8451;1642;10980;10987;10920;51138;50813;8533	DNA repair;mRNA transcription;protein ubiquitination;cellular response to DNA damage stimulus;nucleus;ubiquitin-dependent protein catabolic process	"DNA repair;mRNA synthesis;modification by ubiquitination, deubiquitination;DNA damage response;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)"	POLR2A;COPS2;RBX1;GPS1;ERCC8;CUL4A;DDB1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3	"Since the authors did not specify COPS7, we used isoform COPS7A."	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. This complex has been purified from UV-irradiated cells. Results suggest that the distinct UV response of the DDB2 and CSA complexes is involved in diverse mechanisms of nucleotide excision repair (NER).	None
"Ubiquitin E3 ligase (FBXO31, SKP1A, CUL1, RBX1)"	P62877;P63208;Q13616;Q5XUX0	9978;6500;8454;79791	mitotic cell cycle;protein ubiquitination;protein catabolic process;cell aging;ubiquitin-dependent protein catabolic process	"mitotic cell cycle;modification by ubiquitination, deubiquitination;protein/peptide degradation;cell aging;proteasomal degradation (ubiquitin/proteasomal pathway)"	RBX1;SKP1;CUL1;FBXO31	None	"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. FBXO31 is the chromosome 16q24.3 senescence gene, a candidate breast tumor suppressor, and a component of an SCF complex."	None
"SNARE complex (STX4, SNAP23, VAMP1)"	O00161;P23763;Q12846	8773;6843;6810	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle exocytosis	SNAP23;VAMP1;STX4	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
"SNARE complex (STX4, SNAP23, VAMP2)"	O00161;P63027;Q12846	8773;6844;6810	vesicle fusion;exocytosis	vesicle fusion;exocytosis	SNAP23;VAMP2;STX4	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
SIN3 complex	O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3	10284;8819;5928;3065;5931;3066;25942	"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;DNA binding;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA binding;organization of chromosome structure;nucleus"	SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A	None	None	None
"SNARE complex (STX4, VAMP1, VAMP7)"	P23763;P51809;Q12846	6843;6845;6810	vesicle fusion;exocytosis	vesicle fusion;exocytosis	VAMP1;VAMP7;STX4	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
SIN3-ING1b complex I	O00422;O75446;Q09028;Q13547;Q16576;Q4LE39;Q92769;Q96ST3;Q9UK53	10284;8819;5928;3065;5931;51742;3066;25942;3621	"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	SAP18;SAP30;RBBP4;HDAC1;RBBP7;ARID4B;HDAC2;SIN3A;ING1	None	SAP30 is a specific component of Sin3 complexes since it is absent in other HDAC1/2-containing complexes such as NuRD.	None
SIN3-ING1b complex II	O00422;O14497;O75446;O96019;P51532;Q09028;Q12824;Q13547;Q16576;Q4LE39;Q8TAQ2;Q92769;Q92922;Q96GM5;Q96ST3;Q9UK53	10284;8289;8819;86;6597;5928;6598;3065;5931;51742;6601;3066;6599;6602;25942;3621	"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;regulation of sequence-specific DNA binding transcription factor activity;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;regulator of transcription factor;organization of chromosome structure;nucleus"	SAP18;ARID1A;SAP30;ACTL6A;SMARCA4;RBBP4;SMARCB1;HDAC1;RBBP7;ARID4B;SMARCC2;HDAC2;SMARCC1;SMARCD1;SIN3A;ING1	None	SAP30 is a specific component of Sin3 complexes since it is absent in other HDAC1/2-containing complexes such as NuRD.	None
"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)"	O15234;P38919;P61326;Q9Y5S9	22794;9775;4116;9939	regulation of mRNA stability;regulation of translation;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	control of mRNA stability;translational control;RNA binding;RNA transport;nuclear transport;cytoplasm;nucleus	CASC3;EIF4A3;MAGOH;RBM8A	None	This protein complex remains stably bound to the mRNA through different cellular environments. Magoh and Y14 form a tight heterodimer. The authors propose a that eIF4AIII interacts with Y14:Magoh to enforce a compact arrangement of eIF4AIII's two domains and allow MLN51 to interact with both eIF4AIII and the RNA.	None
NCOR-HDAC3 complex	O15379;O60907;O75376;Q13227;Q9BZK7	8841;6907;9611;2874;79718	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein deacetylation;JNK cascade;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;modification by acetylation, deacetylation;JNK cascade;organization of chromosome structure;nucleus"	HDAC3;TBL1X;NCOR1;GPS2;TBL1XR1	None	N-CoR-HDAC3 complex inhibits JNK activation through the associated GPS2 subunit and thus could potentially provide an alternative mechanism for hormone-mediated antagonism of AP-1 function.	None
"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7)"	O00303;O15371;O15372;O75821;O75822;P55884;P60228;Q13347;Q14152;Q99613;Q9UBQ5;Q9Y262	8665;8664;8667;8666;8669;8662;3646;8668;8661;8663;27335;51386	translational initiation	translation initiation	EIF3F;EIF3D;EIF3H;EIF3G;EIF3J;EIF3B;EIF3E;EIF3I;EIF3A;EIF3C;EIF3K;EIF3L	None	None	None
SIN3-SAP25 complex	O00422;O75446;Q09028;Q13547;Q16576;Q1EHW4;Q4LE39;Q92769;Q96ST3;Q9H0E3;Q9H7L9	10284;8819;5928;3065;5931;751865;51742;3066;25942;79595;64426	"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	SAP18;SAP30;RBBP4;HDAC1;RBBP7;Sap25;ARID4B;HDAC2;SIN3A;SAP130;SUDS3	"Since human SAP25 was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used."	SAP25 binds to the PAH1 domain of SIN3A.	None
"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)"	O15234;P38919;P61326;Q9Y5S9	22794;9775;4116;9939	regulation of mRNA stability;regulation of translation;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	control of mRNA stability;translational control;RNA binding;RNA transport;nuclear transport;cytoplasm;nucleus	CASC3;EIF4A3;MAGOH;RBM8A	None	"The experiments demonstrate that eIF4AIII, MLN51, and Magoh:Y14 are able to form a stable tetrameric complex when co-expressed in vivo. Both eIF4AIII and MLN51 are required for the stable association of either with the Magoh:Y14 heterodimer."	None
NCOR-SIN3-RPD3 complex	O75182;Q92769;Q96ST3;Q9Y618	23309;3066;25942;9612	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein deacetylation;hormone-mediated signaling pathway;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;modification by acetylation, deacetylation;hormone mediated signal transduction;organization of chromosome structure;nucleus"	SIN3B;HDAC2;SIN3A;NCOR2	None	The authors predict that the ligand-induced switch of heterodimeric nuclear receptors from repressor to activator functions involves the exchange of complexes containing histone deacetylases with those that have histone acetylase activity.	None
C/EBPalpha-HNF6 complex	P49715;Q9UBC0	1050;3175	"positive regulation of transcription, DNA-templated;nucleus"	transcription activation;nucleus	CEBPA;ONECUT1	None	Formation of the C/EBPalpha-HNF6 protein complex required the HNF6 cut domain and the C/EBPalpha activation domain (AD) 1/AD2 sequences. The C/EBPalpha-HNF6 protein complex stimulates recruitment of the CBP coactivator protein for expression of Foxa2.	None
NCOR-SIN3-HDAC1 complex	Q13547;Q96ST3;Q9Y618	3065;25942;9612	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein deacetylation;hormone-mediated signaling pathway;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;modification by acetylation, deacetylation;hormone mediated signal transduction;organization of chromosome structure;nucleus"	HDAC1;SIN3A;NCOR2	None	N-CoR directly interact with mSin3A.	None
TRAF6-TAK1 complex	O43318;Q9Y4K3	6885;7189	transmembrane receptor protein serine/threonine kinase signaling pathway	transmembrane receptor protein serine/threonine kinase signalling pathways	MAP3K7;TRAF6	None	"During IL-1 signaling cascade a complex consisting of TRAF6, TAK1, TAB1, TAB2, and the two ubiquitin ligases Uev1A and Ubc13 is formed, phosphorylating TRAF6 and subsequently TAK1. TAK1 activation leads to activation of both NF{kappa}B and the MAPKs, followed by gene transcription. SOCS-3 (suppressor of cytokine signaling-3) inhibits IL-1 signal transduction by inhibiting ubiquitination of TRAF6, thus preventing association and activation of TAK1."	None
MeCP2-SIN3A-HDAC complex	P51608;Q13547;Q92769;Q96ST3	4204;3065;3066;25942	"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;DNA binding;embryo development ending in birth or egg hatching;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;DNA binding;early embryogenesis;organization of chromosome structure;nucleus"	MECP2;HDAC1;HDAC2;SIN3A	None	"MeCp binds specifically to methylated DNA, thus linking two global mechanisms of gene regulation, DNA methylation and histone deacetylation."	None
SMRT core complex	O15379;O60907;Q9Y618	8841;6907;9612	"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;hormone-mediated signaling pathway;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;hormone mediated signal transduction;organization of chromosome structure;nucleus"	HDAC3;TBL1X;NCOR2	"Another subunit of the complex was found in the analysis, which has not been further characterized: SMRT-p37."	None	TBL1 is involved in deafness.
UTM-SGCE-DAG1-CAV1-NOS3 complex	O43556;P29474;P46939;Q03135;Q14118	8910;4846;7402;857;1605	enzyme regulator activity;regulation of catalytic activity;establishment of endothelial barrier	enzymatic activity regulation / enzyme regulator	SGCE;NOS3;UTRN;CAV1;DAG1	None	The authors propose that this utrophin associated protein complex (UAPC) in human umbilical vein endothelial cells (HUVECs) may play an important role in the regulation of vascular tone.	None
"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14)"	O15234;P38919;P61326;Q0VAK7;Q9Y5S9	22794;9775;4116;65109;9939	regulation of mRNA stability;regulation of translation;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	control of mRNA stability;translational control;RNA binding;RNA transport;nuclear transport;cytoplasm;nucleus	CASC3;EIF4A3;MAGOH;UPF3B;RBM8A	None	None	None
"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)"	O15234;P38919;P61326;Q0VAK7;Q9BRP8;Q9Y5S9	22794;9775;4116;65109;84305;9939	regulation of mRNA stability;regulation of translation;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	control of mRNA stability;translational control;RNA binding;RNA transport;nuclear transport;cytoplasm;nucleus	CASC3;EIF4A3;MAGOH;UPF3B;PYM1;RBM8A	None	None	None
Prune-Gelsolin complex	P06396;Q86TP1	2934;58497	cell migration	cell migration	GSN;PRUNE	None	None	None
Prune-GSK3beta complex	P49841;Q86TP1	2932;58497	cell migration	cell migration	GSK3B;PRUNE	None	None	None
Prune/Nm23-H1 complex	P15531;Q86TP1	4830;58497	movement of cell or subcellular component	cell motility	NME1;PRUNE	None	None	None
"Apoptosis- and splicing-associated protein complex (ASAP-L), SAP18, RNPS1, Acinus-L"	O00422;Q15287;Q9UKV3	10284;10921;22985	"mRNA splicing, via spliceosome;mRNA processing;apoptotic process;nucleus"	"mRNA processing (splicing, 5'-, 3'-end processing);apoptosis (type I programmed cell death);nucleus"	SAP18;RNPS1;ACIN1	None	In vitro splicing assays suggest that the ASAP complexes function to repress splicing in vitro and that the ability of RNPS1 (and possibly Acinus-L) to activate splicing is overcome both when it is a component of ASAP and in the presence of the intact complex. In vitro assays using an apoptotic extract strongly indicate that ASAP complexes disassemble during apoptosis.	None
Y14-Magoh complex	P61326;Q9Y5S9	4116;9939	"mRNA splicing, via spliceosome;mRNA processing;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus"	"mRNA processing (splicing, 5'-, 3'-end processing);RNA transport;nuclear transport;cytoplasm;nucleus"	MAGOH;RBM8A	None	Y14 and Magoh form an extremely stable heterodimer. Magoh binds with high affinity to the RNP motif RNA binding domain (RBD) of Y14 and completely masks its RNA binding surface.	None
Dysferlin-affixin complex	O75923;Q9HBI1	8291;29780	plasma membrane organization;skeletal muscle tissue development;striated muscle tissue development	eukaryotic plasma membrane;myogenesis;striated muscle	DYSF;PARVB	None	The results suggest that affixin may participate in membrane repair with dysferlin.	DYSF is involved in Miyoshi myopathy (MM) and limb girdle muscular dystrophy type 2B (LGMD2B).
"Exon junction complex (EIF4A3, MLN51, MAGOH, Y14)"	O15234;P38919;P61326;Q9Y5S9	22794;9775;4116;9939	regulation of mRNA stability;regulation of translation;RNA binding;ATP binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus	control of mRNA stability;translational control;RNA binding;ATP binding;RNA transport;nuclear transport;cytoplasm;nucleus	CASC3;EIF4A3;MAGOH;RBM8A	None	"The DEAD-box protein eIF4AIII encloses an ATP molecule and provides the binding sites for six ribonucleotides. Btz wraps around eIF4AIII and stacks against the 5' nucleotide. An intertwined network of interactions anchors Mago-Y14 and Btz at the interface between the two domains of eIF4AIII, effectively stabilizing the ATP bound state."	None
TREX complex	Q13769;Q13838;Q6I9Y2;Q86V81;Q86W42;Q8NI27;Q96FV9;Q96J01	8563;7919;80145;10189;79228;57187;9984;84321	RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nuclear matrix;nuclear speck	RNA binding;RNA transport;nuclear transport;nuclear matrix;nuclear speckles	THOC5;DDX39B;THOC7;ALYREF;THOC6;THOC2;THOC1;THOC3	None	The TREX complex is recruited by the CBC complex to the 5-prime end of spliced RNAs and is involved in RNA export from the nucleus into the cytoplasm. The TREX complex contains the THO transcription elongation complex.	None
NDPKA-AMPKalpha1 complex	P15531;Q13131	4830;5562	protein binding;cytoplasm	protein binding;cytoplasm	NME1;PRKAA1	None	None	None
EIF4A3-MLN51 complex	O15234;P38919	22794;9775	regulation of mRNA stability	control of mRNA stability	CASC3;EIF4A3	None	"The 3.0 Angstroem resolution structure of the eIF4AIII-Btz subcomplex reveals a dramatic conformational change of the helicase domains as compared to EJC bound eIF4AIII. More generally, the authors propose that similarly to what observed for protein kinases, members of the DEAD-box family of proteins are likely to adopt a similar structure in their 'on' state (when bound to ATP and RNA) despite having different conformations in their 'off' states."	None
Y14-Magoh complex	P61326;Q9Y5S9	4116;9939	"mRNA splicing, via spliceosome;mRNA processing;RNA transport;RNA transmembrane transporter activity;nuclear transport;cytoplasm;nucleus"	"mRNA processing (splicing, 5'-, 3'-end processing);RNA transport;nuclear transport;cytoplasm;nucleus"	MAGOH;RBM8A	None	Y14 and Magoh form an extremely stable heterodimer. Magoh binds with high affinity to the RNP motif RNA binding domain (RBD) of Y14 and completely masks its RNA binding surface.	None
THO complex	Q13769;Q6I9Y2;Q86W42;Q8NI27;Q96FV9	8563;80145;79228;57187;9984	RNA binding;nuclear speck	RNA binding;nuclear speckles	THOC5;THOC7;THOC6;THOC2;THOC1	None	"The human THO complex associates with spliced mRNA, but not with unspliced pre-mRNA in vitro. Transcription is not required for this recruitment. It was also shown that the human THO complex colocalizes with splicing factors in nuclear speckle domains in vivo. The TREX complex contains the THO transcription elongation complex."	None
CBC complex (cap binding complex)	P52298;Q09161	22916;4686	RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nucleus	RNA binding;RNA transport;nuclear transport;nucleus	NCBP2;NCBP1	None	The heterodimeric nuclear cap binding complex (CBC) binds to 5'-capped polymerase II transcripts. It enhances the efficiency of several mRNA maturation steps and is essential for U snRNA nuclear export in multicellular eukaryotes.	None
Exon junction complex	Q15287;Q86V81;Q8IYB3;Q9BZI7;Q9HAU5;Q9UBU9;Q9Y5S9	10921;10189;10250;65109;26019;10482;9939	RNA catabolic process;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nucleus	RNA degradation;RNA binding;RNA transport;nuclear transport;nucleus	RNPS1;ALYREF;SRRM1;UPF3B;UPF2;NXF1;RBM8A	None	"The exon junction complex (EJC) is a protein complex that assembles near exon-exon junctions of mRNAs as a result of splicing. EJC proteins play important roles in postsplicing events including mRNA export, cytoplasmic localization, and nonsense-mediated decay."	None
LARC complex (LCR-associated remodeling complex)	O14497;O94776;O95983;O96019;P07910;P51532;P60709;Q09028;Q12824;Q13547;Q14839;Q8TAQ2;Q8WXI9;Q92769;Q92785;Q92922;Q92925;Q969G3;Q9UBB5	8289;9219;53615;86;3183;6597;60;5928;6598;3065;1108;6601;57459;3066;5977;6599;6603;6605;8932	DNA topological change;DNA binding;chromosome organization;nucleus	DNA conformation modification (e.g. chromatin);DNA binding;organization of chromosome structure;nucleus	ARID1A;MTA2;MBD3;ACTL6A;HNRNPC;SMARCA4;ACTB;RBBP4;SMARCB1;HDAC1;CHD4;SMARCC2;GATAD2B;HDAC2;DPF2;SMARCC1;SMARCD2;SMARCE1;MBD2	None	LARC binds to the hypersensitive 2 (HS2)-Maf recognition element (MARE) DNA in a sequence-specific manner and remodels nucleosomes.	None
URI complex (Unconventional prefoldin RPB5 Interactor)	O94763;P19388;P63208;Q13309;Q13616;Q9UHV9;Q9ULZ2;Q9Y230;Q9Y265	8725;5434;6500;6502;8454;5202;26228;10856;8607	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;response to starvation;phosphatidylinositol-mediated signaling"	transcriptional control;nutrient starvation response	URI1;POLR2E;SKP1;SKP2;CUL1;PFDN2;STAP1;RUVBL2;RUVBL1	"Three other subunits of the complex were found in the analysis, which have not been further characterized: p42, p40, p10.At the time of annotation, the additional member PFD4-related protein of the protein complex was not found in the UniProt database."	"The URI complex participates in the regulation of nutrient-sensitive, TOR-dependent transcription programs."	None
ITCH-USP9X complex	Q93008;Q96J02	8239;83737	protein deubiquitination;protein binding	"modification by ubiquitination, deubiquitination;protein binding"	USP9X;ITCH	None	Interaction between Itch and FAM (USP9X) reverses Itch auto-ubiquitylation and protects the ligase from proteasomal degradation.	None
SMG-1-UPF-ERF1-ERF3 complex (SURF)	P15170;P62495;Q92900;Q96Q15	2935;2107;5976;23049	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	None	GSPT1;ETF1;UPF1;SMG1	None	"The SURF complex accumulated greatly when Upf2 or Y14 was depleted or the Upf2-binding region of Upf1 is mutated. SMG-1 forms a complex with Upf1, eRF1, and eRF3in a Upf2- and Y14-independent manner"	None
Exon junction complex	P38919;P61326;Q13838;Q15287;Q86V81;Q8IYB3;Q9BZI7;Q9Y5S9	9775;4116;7919;10921;10189;10250;65109;9939	RNA catabolic process;RNA binding;RNA transport;RNA transmembrane transporter activity;nuclear transport;nucleus	RNA degradation;RNA binding;RNA transport;nuclear transport;nucleus	EIF4A3;MAGOH;DDX39B;RNPS1;ALYREF;SRRM1;UPF3B;RBM8A	None	"The exon junction complex (EJC) is a protein complex that assembles near exon-exon junctions of mRNAs as a result of splicing. EJC proteins play important roles in postsplicing events including mRNA export, cytoplasmic localization, and nonsense-mediated decay."	None
MR-UBC9-SRC1 complex	P08235;Q08209;Q15788	4306;5530;8648	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"	transcriptional control;nucleus	NR3C2;PPP3CA;NCOA1	None	None	None
NuA4/Tip60-HAT complex B	O96019;Q92993;Q9H2F5;Q9NPF5;Q9UBU8;Q9Y230;Q9Y265;Q9Y4A5	86;10524;80314;55929;10933;10856;8607;8295	chromosome organization;DNA repair;DNA topological change;DNA binding;cellular response to DNA damage stimulus;nucleus;histone acetylation	organization of chromosome structure;DNA repair;DNA conformation modification (e.g. chromatin);DNA binding;DNA damage response;nucleus	ACTL6A;KAT5;EPC1;DMAP1;MORF4L1;RUVBL2;RUVBL1;TRRAP	None	"The NuA4 histone acetyltransferase (HAT) multisubunit complex is responsible for acetylation of histone H4 and H2A N-terminal tails in yeast. The NuA4/Tip60 HAT complex is highly conserved in eukaryotes playing primary roles in transcription, cellular response to DNA damage, and cell cycle control."	None
Exosome	Q06265;Q13868;Q15024;Q5RKV6;Q96B26;Q9NPD3;Q9NQT4;Q9NQT5;Q9Y2L1;Q9Y3B2	5393;23404;23016;118460;11340;54512;56915;51010;22894;51013	RNA catabolic process;RNA binding;cytoplasm;nucleus	RNA degradation;RNA binding;cytoplasm;nucleus	EXOSC9;EXOSC2;EXOSC7;EXOSC6;EXOSC8;EXOSC4;EXOSC5;EXOSC3;DIS3;EXOSC1	None	"Inherently unstable mammalian mRNAs contain AU-rich elements (AREs) within their 3' untranslated regions. The mammalian exosome is required for rapid 3'-to-5' degradation of ARE-containing RNAs but not for poly(A) shortening. ARE recognition requires certain ARE binding proteins that can interact with the exosome and recruit it to unstable RNAs, thereby promoting their rapid degradation."	None
Exosome	Q01780;Q06265;Q13868;Q15024;Q5RKV6;Q96B26;Q9NPD3;Q9NQT4;Q9NQT5;Q9Y2L1;Q9Y3B2	5394;5393;23404;23016;118460;11340;54512;56915;51010;22894;51013	RNA catabolic process;RNA binding;nucleus	RNA degradation;RNA binding;nucleus	EXOSC10;EXOSC9;EXOSC2;EXOSC7;EXOSC6;EXOSC8;EXOSC4;EXOSC5;EXOSC3;DIS3;EXOSC1	None	"Inherently unstable mammalian mRNAs contain AU-rich elements (AREs) within their 3' untranslated regions. The mammalian exosome is required for rapid 3'-to-5' degradation of ARE-containing RNAs but not for poly(A) shortening. ARE recognition requires certain ARE binding proteins that can interact with the exosome and recruit it to unstable RNAs, thereby promoting their rapid degradation. The exosome complex containing PMSCL was only found in the nuclear complex."	None
DDB complex	Q16531;Q92466	1642;1643	DNA repair;DNA binding;cellular response to DNA damage stimulus	DNA repair;DNA binding;DNA damage response	DDB1;DDB2	None	None	None
"SNARE complex (VAMP2, SNAP25, STX1a, CPLX1)"	O14810;P60880;P63027;Q16623	10815;6616;6844;6804	receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;receptor binding	regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding	CPLX1;SNAP25;VAMP2;STX1A	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
"SNARE complex (VAMP2, SNAP25, STX1a, CPLX2)"	P60880;P63027;Q16623;Q6PUV4	6616;6844;6804;10814	receptor regulator activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;receptor binding	regulator of receptor activity;vesicle fusion;synaptic vesicle exocytosis;receptor binding	SNAP25;VAMP2;STX1A;CPLX2	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
"SNARE complex (STX11, VAMP2, SNAP23)"	O00161;O75558;P63027	8773;8676;6844	protein transport;protein transporter activity;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;endosome	protein transport;vesicle fusion;synaptic vesicle exocytosis;endosome	SNAP23;STX11;VAMP2	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
NuA4/Tip60-HAT complex A	O95619;O96019;Q52LR7;Q92993;Q96L91;Q9H0E9;Q9H2F5;Q9HAF1;Q9NPF5;Q9NV56;Q9NXR8;Q9UBU8;Q9Y230;Q9Y265;Q9Y4A5	8089;86;26122;10524;57634;10902;80314;64769;55929;55257;54556;10933;10856;8607;8295	chromosome organization;DNA repair;DNA topological change;DNA binding;cellular response to DNA damage stimulus;nucleus;histone acetylation	organization of chromosome structure;DNA repair;DNA conformation modification (e.g. chromatin);DNA binding;DNA damage response;nucleus	YEATS4;ACTL6A;EPC2;KAT5;EP400;BRD8;EPC1;MEAF6;DMAP1;MRGBP;ING3;MORF4L1;RUVBL2;RUVBL1;TRRAP	None	"The NuA4 histone acetyltransferase (HAT) multisubunit complex is responsible for acetylation of histone H4 and H2A N-terminal tails in yeast. The NuA4/Tip60 HAT complex is highly conserved in eukaryotes playing primary roles in transcription, cellular response to DNA damage, and cell cycle control."	None
